,Sr.No,PIC,Name of Dam,Operated & Maintained by,Latitude,Longitude,Year of Completion,River Basin,River,Neareast City,Seismic Zone,Dam Type,Height above Lowest Foundation Level,Dam Length,Volume Content of Dam,Gross Storage Capacity,Reservoir Area,Effective Storage Capacity,Purpose,Designed Spillway Capacity
4003,1591,MH09LH1605,JALGAONSUPE,Maharashtra Water Resources Department,"18° 16 ' 27""","74° 27 ' 49""",2002,Krishna,Local Nala,Baramati,III,Earthfill_Embankment,10.34,527.3,560000,492000,324000,452000,I,313
4004,1592,MH09LH1606,JIREGAON,Maharashtra Water Resources Department,"18° 21 ' 42""","74° 31 ' 52""",2002,Krishna,Local Nalla,Daund,III,Earthfill_Embankment,11.44,515,566000,1260000,560000,880000,I,461
4005,1593,MH09MH1607,ANANDWADI,Maharashtra Water Resources Department,"18° 32 ' 0""","78° 54 ' 0""",2002,Godavari,Local Nalla,Chakur,III,Earthfill_Embankment,18.8,596,157000,2027000,320000,1790000,I,259
4006,1594,MH09MH1608,MADAN,Maharashtra Water Resources Department,"20° 56 ' 19""","78° 32 ' 8""",2003,Godavari,Madan nalla,Arvi,II,Earthfill_Embankment,26.55,1230,976140,11400000,,10500000,I,662.5
4007,1595,MH09MH1609,ARJUNWADI,Maharashtra Water Resources Department,"17° 18 ' 11""","74° 49 ' 39""",2002,Krishna,Local Nalla,Atpadi,III,Earthfill_Embankment,17.52,459,468000,2352000,588700,1725000,I,739
4008,1596,MH09MH1610,KABRYAKHADAK,Maharashtra Water Resources Department,"21° 42 ' 16""","74° 0 ' 38""",2002,Tapi,Local Nalla,Sakri,III,Earthfill_Embankment,21.22,752,408570,3959000,896000,2375000,I,829.23
4009,1597,MH09MH1611,CHIKHALINALLA,Maharashtra Water Resources Department,"21° 5 ' 21""","78° 38 ' 16""",2002,Godavari,Chikhalinalla,Katol,II,Earthfill_Embankment,17.68,1680,282740,7202900,44800,5327900,I,992
4010,1598,MH09LH1612,WAKI,Maharashtra Water Resources Department,"18° 10 ' 19""","74° 19 ' 30""",2002,Krishna,Local Nalla,Baramati,III,Earthfill_Embankment,12.8,465,35000,2832000,385000,2302000,I,1870
4011,1599,MH09MH1613,KUMBHARKINHI,Maharashtra Water Resources Department,"20° 18 ' 5""","77° 40 ' 44""",2002,Godavari,Kuptanalla,Darwha,II,Earthfill_Embankment,18.1,1079,660000,11216000,2825000,10500000,I,960
4012,1600,MH09MH1614,DEVALE,Maharashtra Water Resources Department,"17° 58 ' 18""","73° 33 ' 33""",2003,West Flowing Rivers from Tapi to Tadri,Savitri,Poladpur,IV,Earthfill_Embankment,29.3,240,123000,1233500,117200,1129660,I,78.16
4013,1601,MH09LH1615,GHAGARGAON,Maharashtra Water Resources Department,"18° 9 ' 54""","74° 57 ' 11""",2003,Krishna,Local Nalla,Indapur,III,Earthfill_Embankment,11.93,323,9300,1317000,271000,1109000,I,326
4014,1602,MH09LH1616,MULIKWADI,Maharashtra Water Resources Department,"17° 58 ' 12""","74° 17 ' 12""",2003,Krishna,Local Nalla,Phaltan,III,Earthfill_Embankment,13.44,1350,115000,1650000,316000,1350000,I,498
4015,1603,MH09LH1617,PONDEWADI,Maharashtra Water Resources Department,"18° 15 ' 4""","74° 43 ' 47""",2003,Krishna,Local Nalla,Indapur,III,Earthfill_Embankment,12.1,382,46000,1760000,685000,1500000,I,745
4016,1604,MH09LH1618,MADANWADI,Maharashtra Water Resources Department,"18° 17 ' 0""","74° 44 ' 0""",2003,Krishna,Local Nalla,Indapur,III,Earthfill_Embankment,12.58,985,80000,5460000,400000,4680000,I,870
4017,1605,MH09HH1619,MOR,Maharashtra Water Resources Department,"21° 15 ' 10""","75° 47 ' 53""",2003,Tapi,Mor,Yawal,III,Earthfill_Embankment,44.3,1315,634000,9500000,750000,7960000,I,999
4018,1606,MH09MH1620,BABHULGAON,Maharashtra Water Resources Department,"18° 19 ' 11""","75° 46 ' 32""",2003,Krishna,Local Nalla,Barshi,III,Earthfill_Embankment,16.93,1650,56100,6400000,227000000,5610000,I,1046
4019,1607,MH09MH1621,CHARGAD,Maharashtra Water Resources Department,"21° 22 ' 24""","77° 48 ' 45""",2003,Godavari,Chargad,Chandur Bazar,III,Earthfill_Embankment,24.5,3740,1095000,12006000,2320000,9878900,I/S,1107.5
4020,1608,MH09HH1622,ANDRA VALLEY,Maharashtra Water Resources Department,"18° 47 ' 7""","73° 38 ' 53""",2003,Krishna,Andra,Maval,III,Earthfill_Embankment,40.45,330,207860,83310000,7421000,82750000,I,3021
4021,1609,MH09MH1623,THITEWADI,Maharashtra Water Resources Department,"18° 48 ' 31""","74° 2 ' 29""",2003,Krishna,Vel,Shirur.,III,Earthfill_Embankment,21.1,1320,303680,9870000,19141000,7148000,I,1623.64
4022,1610,MH09MH1624,PENTAKALI,Maharashtra Water Resources Department,"20° 16 ' 14""","76° 28 ' 25""",2003,Godavari,Penganga,Mehkar,II,Earthfill_Embankment,23.615,990,694350,67355000,12870000,59976000,I/H,6476
4023,1611,MH09HH1625,PARULE,Maharashtra Water Resources Department,"16° 45 ' 40""","73° 42 ' 6""",2004,West Flowing Rivers from Tapi to Tadri,Local Nala,Rajapur,III,Earthfill_Embankment,30.84,323.42,427040,2060000,220000,2030000,I,40.32
4024,1612,MH09MH1626,MALATWADI,Maharashtra Water Resources Department,"15° 59 ' 45""","74° 20 ' 33""",2004,Krishna,Local Nalla,Chandagad,III,Earthfill_Embankment,18.07,325,173520,1524000,170640,1109000,I,70.7
4025,1613,MH09MH1627,SIRSADI,Maharashtra Water Resources Department,"17° 53 ' 34""","73° 19 ' 53""",2004,West Flowing Rivers from Tapi to Tadri,Local Nala,Dapoli,IV,Earthfill_Embankment,28.15,660,702000,4408000,462280,4352000,I,91
4026,1614,MH09MH1628,KHAMKARWADI,Maharashtra Water Resources Department,"16° 32 ' 58""","74° 0 ' 28""",2004,Krishna,Local Nalla,Radhanagari,III,Earthfill_Embankment,26.34,204,1162000,1163000,202400,1088000,I,144.9
4027,1615,MH09HH1629,PHAYE,Maharashtra Water Resources Department,"16° 16 ' 57""","74° 3 ' 36""",2004,Krishna,Local Nala,Bhudargarh,III,Earthfill_Embankment,34.13,355.65,3932420,3920000,373300,3860000,I,190.4
4028,1616,MH09MH1630,ANSING,Maharashtra Water Resources Department,"20° 1 ' 59""","77° 20 ' 11""",2004,Godavari,Local Nalla,Washim,II,Earthfill_Embankment,25.73,220,2854000,1688000,3135000,1594000,I,194
4029,1617,MH09MH1631,SINDGAON,Maharashtra Water Resources Department,"17° 42 ' 11""","76° 20 ' 33""",1997,Krishna,Local Nalla,Tuljapur,II,Earthfill_Embankment,16.3,2150,49190,2193000,545700,1936000,I,366.67
4030,1618,MH09MH1632,CHINCHALI,Maharashtra Water Resources Department,"18° 1 ' 13""","73° 17 ' 52""",2004,West Flowing Rivers from Tapi to Tadri,Local Nala,Mandangad,IV,Earthfill_Embankment,25.55,325,199000,2140000,211000,1759000,I/H,383
4031,1619,MH09LH1633,BHOPGAON,Maharashtra Water Resources Department,"18° 22 ' 3""","73° 57 ' 36""",2004,Krishna,Chambali,Purandar,III,Earthfill_Embankment,14.5,875,79000,1700000,450000,1400000,I,420
4032,1620,MH09MH1634,CHOLMUKH,Maharashtra Water Resources Department,"20° 8 ' 39""","73° 34 ' 16""",2004,West Flowing Rivers from Tapi to Tadri,Local Nala,Peint,III,Earthfill_Embankment,23.44,400,599470,3626000,5400000,3486000,I,618.82
4033,1621,MH09HH1635,PIMPALWADI,Maharashtra Water Resources Department,"17° 40 ' 32""","73° 34 ' 4""",2004,West Flowing Rivers from Tapi to Tadri,Dubi,Khed,IV,Earthfill_Embankment,50.84,612,2915000,27590000,1800000,26640000,I,655
4034,1622,MH09MH1636,TIVARE,Maharashtra Water Resources Department,"17° 36 ' 0""","73° 41 ' 42""",2004,West Flowing Rivers from Tapi to Tadri,Local Nala,Chiplun,IV,Earthfill_Embankment,28,308,483500,2451000,280000,2222000,I,420.35
4035,1623,MH09MH1637,JUWATHI,Maharashtra Water Resources Department,"16° 34 ' 51""","73° 32 ' 19""",2004,West Flowing Rivers from Tapi to Tadri,Local Nala,Rajapur,III,Earthfill_Embankment,27.58,416,374270,2234000,234050,2206000,I,35
4036,1624,MH09LH1638,HALKARNI,Maharashtra Water Resources Department,"15° 8 ' 34""","74° 16 ' 17""",2005,Krishna,Local Nalla,Chandgad,III,Earthfill_Embankment,14,504,128000,1040000,226000,930000,I,35
4037,1625,MH09MH1639,KUDNUR,Maharashtra Water Resources Department,"15° 58 ' 38""","74° 25 ' 28""",2005,Krishna,Local Nalla,Chandagad,III,Earthfill_Embankment,20.99,316,208280,1195000,217160,1141000,I,58.2
4038,1626,MH09MH1640,NANDWAL (KOLHAPUR),Maharashtra Water Resources Department,"16° 37 ' 8""","74° 11 ' 31""",2005,Krishna,Local Nalla,Koregaon,III,Earthfill_Embankment,18.65,524.5,284330,1790000,163430,1620000,I,59.87
4039,1627,MH09MH1641,BARKI,Maharashtra Water Resources Department,"16° 46 ' 24""","73° 50 ' 30""",2005,Krishna,Local Nalla,Shahuwadi,III,Earthfill_Embankment,25.66,335,426530,1642000,186500,1542000,I,194.84
4040,1628,MH09MH1642,IJOLI,Maharashtra Water Resources Department,"16° 45 ' 20""","73° 53 ' 1""",2005,Krishna,Local Nalla,Shahuwadi,III,Earthfill_Embankment,19.65,207,138040,809000,138010,680000,I,215.16
4041,1629,MH09MH1643,UPPER GHATGHAR,Maharashtra Water Resources Department,"19° 32 ' 37""","73° 39 ' 55""",2005,Godavari,Pravara,Akola,III,Other,15.16,503,35000,5820000,1473000,5140000,H,837
4042,1630,MH09MH1644,AMRAWATI,Maharashtra Water Resources Department,"21° 16 ' 35""","74° 29 ' 30""",2005,Tapi,Amrawati,Nandurbar,III,Other,17.9,3850,219000,27780000,5534000,21250000,I/H,4061
4043,1631,MH09LH1645,DHUBDHUBI,Maharashtra Water Resources Department,"17° 28 ' 26""","76° 4 ' 4""",2005,Krishna,Dhubdhubi,Akkalkot,III,Earthfill_Embankment,11.83,1520,,7300000,,4250000,I,1205
4044,1632,MH09MH1646,YEDUR,Maharashtra Water Resources Department,"18° 18 ' 15""","77° 30 ' 18""",2005,Godavari,Local Nalla,Degloor,II,Earthfill_Embankment,18.01,1133,472240,13167000,27250,9330000,I,1744
4045,1633,MH09MH1647,KAREPUR,Maharashtra Water Resources Department,"18° 37 ' 2""","76° 42 ' 29""",2005,Godavari,Local Nalla,Renapur,II,Earthfill_Embankment,16.26,432,70800,2150000,470000,1970000,I,1967
4046,1634,MH09HH1648,DEOGAD,Maharashtra Water Resources Department,"16° 25 ' 38""","73° 48 ' 0""",2005,West Flowing Rivers from Tapi to Tadri,Kurli Nala,Kankauli marg,III,Earthfill_Embankment,54.68,1784,6200000,100428000,6120000,98020000,I/H,2078
4047,1635,MH09MH1649,DHETEWADI,Maharashtra Water Resources Department,"18° 52 ' 48""","75° 58 ' 51""",2006,Godavari,Local Nalla,Ambejogai,III,Earthfill_Embankment,19.63,204,95000,1408000,200000,1193000,I,237
4048,1636,MH09MH1650,BORI,Maharashtra Water Resources Department,"17° 37 ' 0""","76° 13 ' 2""",2005,Krishna,Bori,Akkalkot,II,Other,19.2,886,151000,23290000,1254000,19250000,,4343
4049,1637,MH09MH1651,SHIVANA TAKLI,Maharashtra Water Resources Department,"20° 7 ' 5""","75° 5 ' 0""",2005,Godavari,Shivna,Kannad,II,Other,14.77,4486,622000,39360000,9640000,36450000,I,3271
4050,1638,MH09MH1652,GUTTI,Maharashtra Water Resources Department,"18° 30 ' 51""","77° 12 ' 59""",2005,Godavari,Local Nalla,Jalkot,II,Earthfill_Embankment,16.11,696,174400,3083000,773000,2710000,I,5530
4051,1639,MH09MH1653,BHAVTHANA,Maharashtra Water Resources Department,"18° 48 ' 16""","76° 17 ' 11""",2005,Godavari,Local Nalla,Ambejogai,II,Earthfill_Embankment,27.8,533,454000,5273000,760000,4676000,I,5533
4052,1640,MH09LH1654,SARNISAVANGI,Maharashtra Water Resources Department,"18° 45 ' 40""","75° 54 ' 52""",2005,Godavari,Local Nalla,Kaij,III,Earthfill_Embankment,13.1,1842,674000,6740000,1768000,5890000,I,8019
4053,1641,MH09MH1655,NANDVIPURAR,Maharashtra Water Resources Department,"18° 6 ' 24""","73° 16 ' 59""",2005,West Flowing Rivers from Tapi to Tadri,Kesturinala,Mangaon,IV,Earthfill_Embankment,17,295,596000,500000,67983,380000,S,14.38
4054,1642,MH09HH1656,POPATKHED,Maharashtra Water Resources Department,"21° 12 ' 12""","77° 5 ' 0""",2005,Tapi,Dather,Akot,III,Earthfill_Embankment,42.6,2590.5,1319560,12190000,520600,10709000,I,1055
4055,1643,MH09MH1657,GAVASE,Maharashtra Water Resources Department,"16° 0 ' 44""","74° 7 ' 40""",2006,Krishna,Local Nalla,Ajra mahal,III,Earthfill_Embankment,23.87,291,250000,1205000,151870,1154000,I,100.37
4056,1644,MH09HH1658,BORKHEDA,Maharashtra Water Resources Department,"21° 15 ' 30""","75° 15 ' 30""",2006,Tapi,Local Nalla,Yawal,III,Earthfill_Embankment,30.64,320,285640,1501000,135760,1401000,I,239.96
4057,1645,MH09HH1659,WAGHZIRA,Maharashtra Water Resources Department,"21° 16 ' 0""","75° 36 ' 0""",2006,Tapi,Local Nalla,Yawal,III,Earthfill_Embankment,34.85,470,327700,2002000,178190,1855000,I,380.8
4058,1646,MH09HH1660,NIMBADEVI,Maharashtra Water Resources Department,"19° 55 ' 47""","78° 38 ' 10""",2006,Tapi,Bhokar,Yawal,III,Earthfill_Embankment,32.39,384,558330,2439000,219340,2139000,I,500.9
4059,1647,MH09MH1661,CHANAI,Maharashtra Water Resources Department,"18° 44 ' 11""","76° 21 ' 29""",2006,Godavari,Local Nalla,Ambejogai,II,Earthfill_Embankment,16.48,182,61000,601000,82000,550000,I,640
4060,1648,MH09HH1662,MORBE,Maharashtra Water Resources Department,"18° 54 ' 39""","73° 14 ' 46""",2006,West Flowing Rivers from Tapi to Tadri,Ghatprabha,Panvel,III,Earthfill_Embankment,,,,,,,I,
4061,1649,MH09LH1663,LALOCAL NALLAHALLA,Maharashtra Water Resources Department,"20° 31 ' 13""","79° 6 ' 6""",2006,Godavari,Lalnalla,Samudrapur,II,Earthfill_Embankment,13.9,3385,407670,29515000,9039000,27613000,I,925
4062,1650,MH09HH1664,MORANA (GUREGHAR),Maharashtra Water Resources Department,"17° 17 ' 23""","73° 50 ' 9""",2010,Krishna,Morna,Patan.,IV,Earthfill_Embankment,47.02,560,1109000,39550000,3360000,36990000,I/H,1360
4063,1651,MH09HH1665,DHOM BALAKWADI,Maharashtra Water Resources Department,"17° 57 ' 14""","73° 42 ' 35""",2006,Krishna,Krishna,Wai,IV,Earthfill_Embankment,65.1,1211,1155400,115530000,4156900,112130000,I/H,1758
4064,1652,MH09HH1666,TARALI,Maharashtra Water Resources Department,"17° 32 ' 0""","73° 53 ' 53""",2006,Krishna,Tarali,Patan,IV,Other,73.41,1096,2072000,165710000,5647700,165460000,I/H,1721.03
4065,1653,MH09MH1667,KARAMBALI,Maharashtra Water Resources Department,"16° 11 ' 56""","74° 17 ' 53""",2007,Krishna,Local Nala,Gadhingalaj,III,Earthfill_Embankment,27.44,549,605150,2900000,273400,2789650,I,90.72
4066,1654,MH09MH1668,GADDAVANE (SHINDEWADI),Maharashtra Water Resources Department,"18° 30 ' 0""","73° 38 ' 39""",2007,Krishna,Local Nala,Mulshi,III,Earthfill_Embankment,26.2,260,254290,2150000,104010,2060000,I,96
4067,1655,MH09HH1669,TARANDALE,Maharashtra Water Resources Department,"16° 18 ' 4""","73° 40 ' 19""",2007,West Flowing Rivers from Tapi to Tadri,Local Nala,Kankauli,III,Earthfill_Embankment,48,400,2684330,100840000,1200000,9810000,I,148
4068,1656,MH09HH1670,LOWER GHATGHAR,Maharashtra Water Resources Department,"19° 31 ' 41""","73° 38 ' 48""",2007,West Flowing Rivers from Tapi to Tadri,Shahi Nalla,Shahapur,III,Other,86.14,449,537000,3210000,131000,2730000,H,192.38
4069,1657,MH09HH1671,KUMBHI,Maharashtra Water Resources Department,"16° 31 ' 32""","73° 51 ' 27""",2007,Krishna,Kumbhi,Gaganbawada,III,Earthfill_Embankment,42.58,906,2027000,768800000,5027400,76496000,I/H,416.1
4070,1658,MH09HH1672,ARALAKALMODI,Maharashtra Water Resources Department,"19° 0 ' 0""","73° 40 ' 19""",2008,Krishna,Arala,Khed,III,Earthfill_Embankment,36.8,295,139280,42870000,1120000,42670000,I/H,657.28
4071,1659,MH09HH1673,SINA KOLEGAON,Maharashtra Water Resources Department,"18° 18 ' 59""","75° 23 ' 55""",2007,Krishna,Sina,Karmala,III,Earthfill_Embankment,26.1,1770,234000,150430000,32500000,76180000,I,7689
4072,1660,MH09MH1674,HADASHI 2,Maharashtra Water Resources Department,"18° 35 ' 23""","73° 30 ' 44""",1999,Krishna,Local Nalla,Mulshi,III,Earthfill_Embankment,20.45,390,136540,1300000,231000,1300000,I,81.48
4073,1661,MH09LH1675,KATANGI,Maharashtra Water Resources Department,"21° 19 ' 37""","80° 10 ' 50""",2001,Godavari,Katangina,Gougaon,II,Earthfill_Embankment,13.65,2415,464120,11120000,31020,9400000,I,845.5
4074,1662,MH09MH1676,SIRASGAON,Maharashtra Water Resources Department,"20° 30 ' 38""","77° 43 ' 10""",1998,Godavari,Local Nalla,Gadchiroli,II,Earthfill_Embankment,21.12,600,557000,9130000,1707000,8340000,I,860
4075,1663,MH09MH1677,WARETOLA,Maharashtra Water Resources Department,"21° 26 ' 12""","80° 7 ' 8""",,Godavari,Local,Gondia,II,Earthfill_Embankment,19.7,683,70100,680000000,227000,640000,I,20.75
4076,1664,MH09MH1678,TALWADI,Maharashtra Water Resources Department,"17° 32 ' 29""","73° 17 ' 5""",,West Flowing Rivers from Tapi to Tadri,Local Nala,Guhagar,IV,Earthfill_Embankment,21.66,605,215000,0,251000,,I,33
4077,1665,MH09MH1679,GHORALE,Maharashtra Water Resources Department,"19° 15 ' 39""","73° 20 ' 16""",,West Flowing Rivers from Tapi to Tadri,Local Nala,Murbad,III,Earthfill_Embankment,22.64,418,251,150127000,198900,1324000,I,35
4078,1666,MH09HH1680,KALWALI- DHARWALI,Maharashtra Water Resources Department,"18° 1 ' 50""","73° 28 ' 1""",,West Flowing Rivers from Tapi to Tadri,Local Nala,Poladpur,IV,Earthfill_Embankment,,,,,,,,
4079,1667,MH09MH1681,AUTAD,Maharashtra Water Resources Department,"19° 15 ' 0""","76° 16 ' 0""",,Godavari,Local Nalla,Kalyan,III,Earthfill_Embankment,28.9,521,335750,2232780,330000,1733970,I,44.8
4080,1668,MH09MH1683,SAI,Maharashtra Water Resources Department,"18° 11 ' 13""","73° 11 ' 30""",,West Flowing Rivers from Tapi to Tadri,Local Nala,Panvel,III,Other,26.4,307,296460,3470000,124380,3470000,I,55
4081,1669,MH09MH1684,MANAKUHI,Maharashtra Water Resources Department,"21° 12 ' 39""","80° 26 ' 25""",,Godavari,Local,Gondia,II,Earthfill_Embankment,21.97,478,59280,856000000,190000,710000,I,60.67
4082,1670,MH09MH1685,KHARSAI,Maharashtra Water Resources Department,"18° 9 ' 7""","73° 3 ' 37""",2010,West Flowing Rivers from Tapi to Tadri,Local Nala,Mhasala,IV,Earthfill_Embankment,29.6,247,195000,1954400,150900,1910740,I,63
4083,1671,MH09MH1686,SERPUR,Maharashtra Water Resources Department,"21° 32 ' 56""","80° 16 ' 56""",1996,Godavari,Local,Deori,II,Earthfill_Embankment,20.4,660,77710,911000,324000,877000,I,64
4084,1672,MH09LH1687,VYPHADPITESUR,Maharashtra Water Resources Department,"20° 59 ' 29""","78° 55 ' 21""",,Godavari,Local Nalla,Hingana,II,Earthfill_Embankment,10.2,508,94000,1080000,367000,810000,I,66.93
4085,1673,MH09LH1688,MAISDODAK,Maharashtra Water Resources Department,"20° 3 ' 2""","78° 44 ' 39""",1990,Godavari,Local Nalla,Maregaon,II,Earthfill_Embankment,11.41,583,105000,860000,352000,820000,I,67
4086,1674,MH09MH1689,ALYANI,Maharashtra Water Resources Department,"19° 15 ' 31""","73° 34 ' 0""",,West Flowing Rivers from Tapi to Tadri,Local Nala,Murbad,III,Earthfill_Embankment,20.4,516,279000,2666720,429000,2323850,I,69.65
4087,1675,MH09MH1690,PURADA,Maharashtra Water Resources Department,"21° 8 ' 5""","80° 20 ' 5""",,Godavari,Local Nalla,Salekasa,II,Earthfill_Embankment,21.16,579,94850,1630000,475000,1600000,I,80.16
4088,1676,MH09MH1691,PURKABODI,Maharashtra Water Resources Department,"21° 0 ' 0""","79° 47 ' 42""",,Godavari,Local Nalla,Lakhandur,II,Earthfill_Embankment,20.34,1107,125670,1470000,590000,1050000,I,84.39
4089,1677,MH09LH1692,SILLI AMBADI,Maharashtra Water Resources Department,"21° 6 ' 51""","79° 40 ' 2""",1990,Godavari,Local Nalla,Bhandara,II,Earthfill_Embankment,12.82,1380,7220000,1273000,765000,1218000,I,87.3
4090,1678,MH09LH1693,MAHUR,Maharashtra Water Resources Department,"18° 11 ' 40""","73° 3 ' 7""",1978,Krishna,Khopu,Purandar,III,Earthfill_Embankment,23,275,21000,2370000,437000,1840000,I,818
4091,1679,MH09MH1694,CHATEGHAR,Maharashtra Water Resources Department,"19° 28 ' 30""","72° 53 ' 0""",,West Flowing Rivers from Tapi to Tadri,Local Nala,Vasai,III,Earthfill_Embankment,24.17,435,482020,263500000,299800,2309450,I,90.65
4092,1680,MH09LH1695,SALIMBA,Maharashtra Water Resources Department,"19° 1 ' 38""","76° 1 ' 45""",1987,Godavari,Local Nalla,Wadwari,II,Earthfill_Embankment,12.89,1140,116000,1750000,429000,1605000,I,234
4093,1681,MH09LH1696,SHIRSOLI-2,Maharashtra Water Resources Department,"20° 53 ' 33""","75° 33 ' 19""",1990,Tapi,Local Nalla,Jalgaon,II,Earthfill_Embankment,10.12,848,188480,2400000,790000,2380000,I,95
4094,1682,MH09MH1697,JUNEWADI- II,Maharashtra Water Resources Department,"21° 16 ' 37""","78° 31 ' 22""",,Godavari,Local,Morgaon,II,Earthfill_Embankment,22.28,506,73820,132000000,350000,1230000,I,95.39
4095,1683,MH09MH1698,OTAV,Maharashtra Water Resources Department,"16° 21 ' 13""","73° 39 ' 47""",2009,West Flowing Rivers from Tapi to Tadri,Local Nala,Kankavali,III,Earthfill_Embankment,27.3,330,392170,7550000,733600,7430000,I,96.95
4096,1684,MH09LH1699,PIMPRI (MAN),Maharashtra Water Resources Department,"20° 12 ' 30""","77° 30 ' 5""",1996,Godavari,Local Nalla,Risod,II,Earthfill_Embankment,13.07,480,254000,154100000,46000,1134000,I,101
4097,1685,MH09MH1700,NANHI,Maharashtra Water Resources Department,"20° 57 ' 54""","78° 52 ' 37""",,Godavari,Local Nalla,Hingana,II,Earthfill_Embankment,19,835,173000,1731000,453400,1672000,I,101.76
4098,1686,MH09MH1701,ASNAS,Maharashtra Water Resources Department,"19° 35 ' 16""","73° 0 ' 5""",,West Flowing Rivers from Tapi to Tadri,Local Nala,Wada,III,Earthfill_Embankment,22.96,292,178000,1648920,194200,1372960,I,105
4099,1687,MH09MH1703,PALANDAR ZAMINDARI,Maharashtra Water Resources Department,"25° 50 ' 45""","80° 15 ' 39""",,Godavari,Local Nalla,Morgaon,II,Earthfill_Embankment,23.38,346,39900,162000000,583000,1560000,I,112.2
4100,1688,MH09LH1704,MANGRUL,Maharashtra Water Resources Department,"17° 56 ' 23""","76° 6 ' 0""",1997,Tapi,Bhokar,Raver,III,Earthfill_Embankment,33.07,532,606000,119000000,401000,110000000,I,1238
4101,1689,MH09MH1705,PIMPALGAON,Maharashtra Water Resources Department,"19° 44 ' 4""","78° 17 ' 22""",,Godavari,Local Nalla,Kinwat,II,Earthfill_Embankment,16.2,796,124000,2355000,438000,2283000,I,117
4102,1690,MH09MH1706,KARLI,Maharashtra Water Resources Department,"21° 30 ' 10""","79° 39 ' 45""",1998,Godavari,Ambagarh nadi,Tumsar,II,Earthfill_Embankment,23.26,301,53480,1900000,725000,1808000,I,117.12
4103,1691,MH09MH1707,JAMBRUNG,Maharashtra Water Resources Department,"19° 1 ' 16""","73° 31 ' 48""",,West Flowing Rivers from Tapi to Tadri,Local Nala,Karjat,III,Other,27.2,563,393150,256470000,257850,2013170,I,119.47
4104,1692,MH09LH1709,TEMBHURWALTRI,Maharashtra Water Resources Department,"19° 41 ' 40""","79° 21 ' 28""",,Godavari,Local Nalla,Rajura,III,Earthfill_Embankment,11.19,910,870000,124000000,1066000,860000,I,131.03
4105,1693,MH09LH1710,ARLI,Maharashtra Water Resources Department,"17° 51 ' 53""","76° 7 ' 36""",1990,Krishna,Local Nala,Tuljapur,III,Earthfill_Embankment,12.35,771,83870,888000000,360000,815000000,I,132
4106,1694,MH09MH1711,PATIA,Maharashtra Water Resources Department,"21° 35 ' 19""","77° 2 ' 30""",,Tapi,Local Nalla,Dharni,III,Earthfill_Embankment,15.8,710,460000,2574000,502000,2432000,I,199.55
4107,1695,MH09MH1712,PILANDRI,Maharashtra Water Resources Department,"20° 55 ' 20""","79° 46 ' 38""",,Godavari,Local Nalla,Bhandara,II,Earthfill_Embankment,16.42,1344,96150,1570000,310000,1518000,I,141.14
4108,1696,MH09LH1713,KANJKHEDA,Maharashtra Water Resources Department,"20° 14 ' 45""","75° 11 ' 39""",1990,Godavari,Local Nalla,Kannad,II,Earthfill_Embankment,11.5,830,103000,1040000,374000,970000,I,143
4109,1697,MH09LH1714,KHURSAPUR,Maharashtra Water Resources Department,"21° 11 ' 52""","79° 37 ' 6""",1984,Godavari,Local Nalla,Bhandara,II,Earthfill_Embankment,13.24,824,56020,2100000,1164000,2010000,I,148.07
4110,1698,MH09MH1715,PANCHPAHUR,Maharashtra Water Resources Department,"19° 58 ' 0""","78° 40 ' 0""",,Godavari,Local Nalla,ZariJamni,III,Earthfill_Embankment,21.35,1100,409747,798160000,1828150,6802300,I,711
4111,1699,MH09HH1716,PALIBHUTAWALI,Maharashtra Water Resources Department,"18° 58 ' 50""","73° 19 ' 15""",2005,West Flowing Rivers from Tapi to Tadri,Matheran Nalla,Karjat,III,Earthfill_Embankment,32.4,675,1458650,1307000,964230,1282600,I,258.3
4112,1700,MH09LH1717,MASALA KD,Maharashtra Water Resources Department,"20° 11 ' 34""","77° 5 ' 47""",1995,Tapi,Local Nalla,Malegaon,II,Earthfill_Embankment,11.14,790,361000,1950000,5465000,1830000,I,167
4113,1701,MH09LH1718,WADNER,Maharashtra Water Resources Department,"20° 45 ' 15""","78° 45 ' 15""",,Godavari,Local Nalla,Kannad,II,Earthfill_Embankment,11.35,978,121421,2070000,1084000,1870000,I,167
4114,1702,MH09LH1719,BHATKHEDA,Maharashtra Water Resources Department,"19° 36 ' 50""","75° 51 ' 2""",1994,Godavari,Local Nalla,Ambad,II,Other,10.05,775,66000,800000,375000,710000,I,170
4115,1703,MH09LH1720,YELEGAON,Maharashtra Water Resources Department,"19° 13 ' 31""","77° 23 ' 15""",,Godavari,Local Nalla,Bhokar,II,Earthfill_Embankment,12.06,657,94000,1646000,444000,1550000,I,171
4116,1704,MH09LH1721,CHINDA,Maharashtra Water Resources Department,"20° 44 ' 32""","79° 11 ' 47""",,Godavari,Local Nalla,Umred,II,Earthfill_Embankment,10.05,910,75000,1952000,1015000,1806000,I,172.71
4117,1705,MH09LH1722,UPRALE,Maharashtra Water Resources Department,"19° 48 ' 6""","73° 1 ' 41""",,West Flowing Rivers from Tapi to Tadri,Local Nala,Dindori.,III,Earthfill_Embankment,13.19,1045,97000,1110000,437890,1080000,I,180
